dataset_id,analyte,biomarker,specimen,reference_event,unit,value_type,gene_target,dose,vaccine_type,model,n_subjects,n_measurements,pct_censored,pct_subjects_with_rise,a_median,b_median,c_median,sigma,peak_day,peak_log10,median_first_observed_day,half_life_days,aic,converged
aoki2010duration,stool_norovirus,norovirus,stool,symptom onset,gc/wet gram,concentration,,,,exponential,13,57,43.85964912280702,0.0,0.68220154658566,,16.32750250726419,0.5052460455753093,0.0,7.122566053258435,3.0,1.0160445751392193,105.46474507007477,True
arts2023longitudinal,stool_SARSCoV2_N,SARS-CoV-2,stool,symptom onset,gc/dry gram,concentration,N,,,exponential,34,290,33.793103448275865,72.0,0.3680239132676793,,11.555346437270307,1.0393897246052175,0.0,4.980273557507974,5.0,1.8834297326103104,759.4977424119245,True
arts2023longitudinal,stool_SARSCoV2_N,SARS-CoV-2,stool,symptom onset,gc/dry gram,concentration,N,,,gamma,29,275,34.54545454545455,72.0,1.2113051122948069,3.8630318108678594,9.293020145345732,0.8320857426074062,3.1891484413447078,4.299268861803146,4.0,0.5722316974678527,666.6637812132077,True
arts2023longitudinal,stool_SARSCoV2_N,SARS-CoV-2,stool,symptom onset,gc/dry gram,concentration,N,,,gamma_shifted,28,274,34.306569343065696,72.0,0.9227450181272099,2.7001019175150645,9.25555861683142,0.7446033943000664,4.829435559912275,4.124352299677636,4.0,0.7511795424989093,668.6820987278732,True
arts2023longitudinal,stool_SARSCoV2_ORF1a,SARS-CoV-2,stool,symptom onset,gc/dry gram,concentration,ORF1a,,,exponential,35,297,36.02693602693603,84.0,0.3426747240089201,,10.258884973004674,1.1211158458556783,0.0,4.421030322359629,5.0,2.0227554937547776,814.0372273532441,True
arts2023longitudinal,stool_SARSCoV2_ORF1a,SARS-CoV-2,stool,symptom onset,gc/dry gram,concentration,ORF1a,,,gamma,30,282,36.87943262411348,84.0,0.6081883203714886,1.4416130515500676,9.82812813955677,0.8692531543378873,2.370339914895954,4.1570060730801615,4.0,1.1396916996639508,713.0765396111742,True
arts2023longitudinal,stool_SARSCoV2_ORF1a,SARS-CoV-2,stool,symptom onset,gc/dry gram,concentration,ORF1a,,,gamma_shifted,29,281,37.01067615658363,91.66666666666666,0.5166129911432297,1.4766407205475947,8.797518190107652,0.8081057419556185,4.809192361399835,3.8271334984993417,4.0,1.3417145763718743,729.7397404256928,True
atmar2008norwalk,stool_norovirus,norovirus,stool,enrollment,gc/dry gram,concentration,,,,exponential,16,182,18.13186813186813,75.0,0.5986640801647894,,24.93417495808056,0.6896563677892416,0.0,10.84879206795836,2.0,1.1578232326368207,412.7202864535466,True
atmar2008norwalk,stool_norovirus,norovirus,stool,enrollment,gc/dry gram,concentration,,,,gamma,16,182,18.13186813186813,75.0,1.275487097266091,1.948356668092179,24.9482565694104,0.5746203641144113,1.5275393002942423,10.333425417347893,2.0,0.5434372343284799,381.9020851872548,True
brint2017prolonged,nasal_aspirate_respiratory_syncytial_virus_viral_load,RSV,nasopharyngeal_aspirate,symptom onset,pfu/mL,concentration,N gene,,,exponential,25,212,14.150943396226415,44.0,0.5990422287173053,,16.02693582880941,1.1639749925700436,0.0,6.998294636739724,4.0,1.1570923506413588,694.9514517363058,True
